Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.100000	0.104351	1.086038	45.125537	71.878627	0.000000	
0.100000	0.031269	1.138499	58.418156	61.930028	71.878627	
0.100000	0.015767	1.235734	66.644047	74.199967	71.878627	
0.100000	0.010080	1.301074	64.646008	78.113082	74.199967	
0.100000	0.008483	1.162833	64.517832	76.852927	78.113082	
0.050000	0.005582	1.190873	68.001206	78.461283	78.113082	
0.050000	0.004406	1.177532	70.353615	79.887249	78.461283	
0.050000	0.003901	1.178072	70.715524	79.936992	79.887249	
0.050000	0.003806	1.161933	72.894519	80.832366	79.936992	
0.050000	0.003624	1.148768	74.198899	81.644835	80.832366	
0.025000	0.003425	1.152270	74.176280	80.948433	81.644835	
0.025000	0.003328	1.146400	75.578678	81.197148	81.644835	
0.025000	0.003339	1.147586	75.638996	81.545349	81.644835	
0.025000	0.003237	1.148418	75.955666	81.628254	81.644835	
